day,model,sym,side,sig,code,time,min,entry,rank,cls,taken,ghost,skip_why,breadth,daypct,sec,sec_bullq,sec_bearq,sec_pb,sec_pw,held,tilt,regime,cf_net_s,cf_net_p,cf_r_s,cf_r_p,cf_exit_s,cf_net,cf_r,cf_exit,mfe_r,mae_r,mfe30_r,mfe60_r,eod_pct,bear_close,day_regime
2026-08-06,M10,ADANIENT,BUY,BUY-EX12,111,09:45,585,3058.0,,BREAKOUT,1,0,,0.605,0.262,INFRA,,,,,,,,-362.0,,-1.0,,100% SL 13:45,-448,-1.0,100% SL 13:45,0.64,1.43,0.18,0.55,-1.05,0.681,MIXED
2026-08-06,M10,APOLLOHOSP,BUY,BUY-EX17,102,09:45,585,8999.0,,BREAKOUT,1,0,,0.605,0.446,HOSPITALS,,,,,,,,-349.0,,-1.0,,100% SL 11:40,-503,-1.0,100% SL 13:10,0.19,1.4,0.06,0.19,-0.27,0.681,MIXED
2026-08-06,M10,AUBANK,BUY,BUY-EX17,102,09:55,595,1063.5,,BREAKOUT,1,0,,0.605,2.953,BANK,,,,,,,,1061.0,,1.45,,100% trail 12:45,972,1.25,100% trail 12:45,2.35,0.24,0.36,0.83,2.27,0.681,MIXED
2026-08-06,M10,BEL,BUY,BUY-EX17,102,09:40,580,393.8,,BREAKOUT,1,0,,0.605,2.286,DEF,,,,,,,,670.0,,1.2,,100% trail 13:50,582,1.02,100% trail 13:50,1.36,0.25,0.49,0.49,1.37,0.681,MIXED
2026-08-06,M10,BIOCON,BUY,BUY-EX7,106,09:45,585,430.25,,BREAKOUT,1,0,,0.605,0.998,PHA,,,,,,,,278.0,,0.31,,100% trail 11:05,192,0.31,100% trail 11:05,1.54,0.58,0.94,1.14,1.48,0.681,MIXED
2026-08-06,M10,GLENMARK,BUY,BUY-EX6,105,09:30,570,2269.9,,BREAKOUT,1,0,,0.605,2.85,PHA,,,,,,,,2.0,,0.0,,OPEN,-29,0.0,OPEN,0.86,0.85,0.86,0.86,0.0,0.681,MIXED
2026-08-06,M10,HAL,BUY,BUY-EX17,102,09:30,570,4866.5,,BREAKOUT,1,0,,0.605,6.024,DEF,,,,,,,,268.0,,0.33,,OPEN,202,0.29,OPEN,0.46,0.26,0.23,0.25,1.1,0.681,MIXED
2026-08-06,M10,IRFC,BUY,BUY-EX17,102,09:50,590,89.24,,BREAKOUT,1,0,,0.605,0.382,RAILWAYS,,,,,,,,-240.0,,-1.0,,100% SL 10:50,-3,0.1,OPEN,1.39,0.84,0.12,0.12,0.06,0.681,MIXED
2026-08-06,M10,MAZDOCK,BUY,BUY-EX7,106,09:40,580,2409.0,,BREAKOUT,1,0,,0.605,3.568,DEF,,,,,,,,190.0,,0.28,,100% trail 11:05,91,0.24,100% trail 11:05,4.56,0.24,1.08,1.08,5.02,0.681,MIXED
2026-08-06,M10,PRESTIGE,BUY,BUY-EX17,102,09:50,590,1612.5,,BREAKOUT,1,0,,0.605,1.441,REALTY,,,,,,,,-881.0,,-1.0,,100% SL 11:45,-968,-1.0,100% SL 11:45,0.04,1.48,0.04,0.04,-2.14,0.681,MIXED
